Country Name,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Finland,1.09,0.79,0.63,1.19,1.4,1.16,3.04,2.58,1.57,0.88,0.19,0.62,1.57,2.51,4.07,-0.0,1.18,3.42,2.81,1.48,1.04,-0.21,0.36,0.75,1.08,1.02,0.29,2.19,7.12,6.25
Fiji,0.82,2.17,3.05,3.37,5.71,1.97,1.09,4.27,0.76,4.17,2.83,2.37,2.49,4.8,7.73,3.13,3.69,7.28,3.42,2.91,0.52,1.37,3.86,3.35,4.08,1.77,-2.6,0.16,4.52,2.15
France,1.66,1.8,1.98,1.2,0.65,0.54,1.68,1.63,1.92,2.1,2.14,1.75,1.68,1.49,2.81,0.09,1.53,2.11,1.95,0.86,0.51,0.04,0.18,1.03,1.85,1.11,0.48,1.64,5.22,4.88
Gabon,36.12,9.65,0.69,3.97,1.45,-1.94,0.5,2.14,0.04,2.24,0.41,3.71,-1.41,5.03,5.26,1.89,1.46,1.26,2.65,0.51,4.69,-0.34,2.11,2.65,4.75,2.46,1.35,1.09,4.23,3.63
United Kingdom,2.22,2.7,2.85,2.2,1.82,1.75,1.18,1.53,1.52,1.38,1.39,2.09,2.46,2.39,3.52,1.96,2.49,3.86,2.57,2.29,1.45,0.37,1.01,2.56,2.29,1.74,0.99,2.52,7.92,6.79
Ghana,24.87,59.46,46.56,27.89,14.62,4.87,40.24,41.51,9.36,29.77,18.04,15.44,11.68,10.73,16.49,19.25,10.73,8.73,11.19,11.67,15.49,17.15,17.45,12.37,7.81,7.14,9.89,9.97,31.26,38.11
"Gambia, The",1.71,6.98,1.1,2.78,1.11,3.81,0.84,4.49,8.61,17.03,14.21,4.84,2.06,5.37,4.44,4.56,5.05,4.8,4.25,5.7,5.95,6.81,7.23,8.03,6.52,7.12,5.93,7.37,11.51,16.97
Greece,10.87,8.93,8.19,5.54,4.77,2.64,3.15,3.37,3.63,3.53,2.9,3.55,3.2,2.9,4.15,1.21,4.71,3.33,1.5,-0.92,-1.31,-1.74,-0.83,1.12,0.63,0.25,-1.25,1.22,9.65,3.46
Grenada,3.77,1.87,2.03,1.24,1.38,0.58,2.18,3.14,1.07,2.15,2.31,3.48,4.25,3.86,8.03,-0.31,3.44,3.03,2.41,-0.04,-0.98,-0.52,1.65,0.91,0.8,0.6,-0.74,1.22,2.58,2.7
High income,2.88,3.75,2.93,2.43,1.96,2.14,2.69,2.63,2.07,2.06,2.19,2.62,2.67,2.85,4.63,1.59,2.08,3.41,2.66,1.49,1.03,0.32,0.44,1.59,1.88,1.62,0.6,2.53,7.35,4.82
"Hong Kong SAR, China",8.74,9.08,6.28,5.78,2.91,-4.01,-3.69,-1.66,-2.98,-2.67,-0.27,0.83,2.0,2.04,4.3,0.58,2.29,5.31,4.05,4.34,4.42,2.99,2.41,1.49,2.41,2.88,0.25,1.57,1.88,2.1
Honduras,21.73,29.46,23.84,20.2,13.67,11.66,11.05,9.67,7.69,7.67,8.11,8.81,5.58,6.94,11.4,5.5,4.7,6.76,5.2,5.16,6.13,3.16,2.72,3.93,4.35,4.37,3.47,4.48,9.09,6.66
Heavily indebted poor countries (HIPC),32.29,14.38,7.41,5.57,5.75,3.6,4.17,4.6,3.9,5.3,4.47,8.17,6.74,7.25,10.66,4.36,4.7,6.43,6.31,5.16,3.97,3.77,4.66,4.98,3.07,2.8,3.48,4.37,9.57,7.38
Croatia,107.33,3.95,4.3,4.17,6.4,4.02,4.61,3.78,1.67,1.77,2.06,3.32,3.19,2.9,6.08,2.38,1.03,2.27,3.41,2.22,-0.22,-0.46,-1.13,1.13,1.5,0.77,0.15,2.55,10.78,7.94
Haiti,39.33,27.61,20.58,20.56,5.27,3.0,9.33,13.32,7.03,28.7,21.03,13.97,11.35,6.56,15.28,0.39,4.83,6.33,5.02,4.77,3.44,6.73,11.5,10.68,12.48,18.7,22.8,16.84,33.98,36.81
Hungary,18.87,28.31,23.47,18.31,14.15,10.0,9.8,9.12,5.27,4.66,6.74,3.56,3.93,7.96,6.04,4.21,4.86,3.93,5.65,1.73,-0.23,-0.06,0.39,2.35,2.85,3.34,3.33,5.11,14.61,17.12
IBRD only,22.71,14.58,10.08,7.71,7.27,5.02,4.69,5.4,4.15,4.1,4.7,4.9,5.64,5.43,9.41,3.73,4.12,5.55,4.28,3.9,3.5,3.1,2.12,3.32,3.22,2.56,2.4,4.27,8.81,5.93
IDA & IBRD total,20.57,11.13,8.83,7.13,6.81,4.46,4.18,5.01,3.9,4.53,4.46,6.08,6.13,6.14,10.28,4.0,4.09,5.8,5.01,4.34,3.52,3.14,2.82,3.45,3.13,2.68,2.83,4.22,8.33,6.08
IDA total,15.18,10.02,7.19,6.68,6.09,4.14,3.86,4.42,3.82,5.3,4.38,6.84,6.24,6.56,10.72,4.33,4.0,6.33,5.6,4.89,3.52,3.16,3.37,3.89,2.97,2.73,3.48,4.17,8.06,6.51
IDA blend,3.77,8.35,5.96,4.38,5.05,4.14,3.07,4.27,2.83,2.62,2.89,3.29,4.68,4.61,8.55,2.02,3.44,4.46,4.36,2.48,1.53,1.95,2.42,1.65,2.32,2.21,1.8,3.24,7.01,4.39
Indonesia,8.53,9.42,7.97,6.23,58.45,20.48,3.69,11.5,11.9,6.76,6.06,10.45,13.11,6.41,10.23,4.39,5.13,5.36,4.28,6.41,6.39,6.36,3.53,3.81,3.2,3.03,1.92,1.56,4.21,3.67
IDA only,22.45,11.39,8.52,7.22,6.21,4.58,4.01,4.6,4.18,5.69,4.6,7.17,6.7,7.03,11.4,4.45,4.76,6.72,5.98,5.09,4.13,3.4,3.74,4.31,3.02,2.84,3.68,4.26,9.39,7.11
India,10.25,10.22,8.98,7.16,13.23,4.67,4.01,3.78,4.3,3.81,3.77,4.25,5.8,6.37,8.35,10.88,11.99,8.91,9.48,10.02,6.67,4.91,4.95,3.33,3.94,3.73,6.62,5.13,6.7,5.65
Ireland,2.31,2.52,1.76,1.54,2.41,1.63,5.58,4.85,4.63,3.49,2.18,2.46,3.94,4.89,4.04,-4.45,-0.92,2.55,1.69,0.52,0.19,-0.33,0.02,0.36,0.47,0.94,-0.33,2.34,7.83,6.3
