Country Name,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
IDA blend,182.67,256.31,310.42,325.99,341.27,184.66,227.75,227.16,249.56,281.7,341.63,404.34,501.41,581.13,680.73,635.29,745.69,851.98,946.69,1028.64,1115.65,1058.99,987.29,1012.16,1066.72,1092.77,1024.08,1114.25,1208.34,1068.44
Indonesia,176.89,202.13,227.37,215.75,95.45,140.0,165.02,160.45,195.66,234.77,256.84,285.87,364.57,432.22,510.23,539.58,755.09,892.97,917.87,912.52,890.81,860.85,931.88,1015.62,1042.27,1119.1,1059.05,1186.51,1319.08,1371.17
IDA only,213.94,224.47,243.01,253.4,262.05,268.18,291.56,286.24,303.91,342.66,388.0,441.79,508.73,603.94,730.93,743.35,844.22,944.68,948.38,1033.14,1104.94,1101.36,1164.59,1256.38,1338.36,1409.01,1426.19,1554.3,1677.11,1814.05
India,327.27,360.28,392.9,415.87,421.35,458.82,468.4,485.44,514.94,607.7,709.15,820.38,940.26,1216.74,1198.9,1341.89,1675.62,1823.05,1827.64,1856.72,2039.13,2103.59,2294.8,2651.47,2702.93,2835.61,2674.85,3167.27,3353.47,3567.55
Ireland,57.1,69.14,75.79,82.86,90.2,98.89,100.21,109.35,128.6,164.67,194.37,211.88,232.18,270.08,275.45,236.44,221.99,241.34,227.27,243.3,266.79,302.39,305.73,348.53,395.46,407.12,436.56,531.31,548.57,551.39
"Iran, Islamic Rep.",71.84,96.42,120.4,113.92,110.28,113.85,109.59,126.88,128.63,151.91,187.75,224.97,265.6,349.74,406.07,414.06,487.07,629.08,644.02,500.4,462.28,409.19,459.04,489.17,398.88,333.52,262.19,383.44,394.36,404.63
Iraq,3.99,12.89,10.43,20.76,20.62,36.88,48.36,36.18,32.93,21.92,36.63,50.07,65.15,88.84,131.61,111.66,138.52,185.75,218.0,234.64,228.42,166.77,166.74,187.22,227.37,233.64,180.9,209.69,286.64,250.84
Iceland,6.39,7.12,7.43,7.57,8.5,8.98,9.03,8.23,9.32,11.43,13.83,16.85,17.47,21.65,18.07,13.15,13.75,15.22,14.75,16.13,17.87,17.52,20.79,24.73,26.26,24.68,21.63,25.83,28.77,31.33
Israel,90.58,105.31,114.87,119.25,120.36,121.17,136.23,134.62,125.06,131.31,139.9,147.1,158.72,184.07,220.55,212.45,238.91,267.41,262.92,297.63,314.09,302.72,320.96,357.23,375.15,399.65,411.73,489.71,525.0,513.61
Italy,1101.75,1177.37,1314.78,1244.99,1272.73,1255.0,1149.66,1172.04,1281.75,1582.93,1812.81,1864.98,1958.56,2222.52,2417.51,2209.48,2144.94,2306.97,2097.93,2153.23,2173.26,1845.43,1887.11,1970.72,2099.44,2019.61,1907.48,2179.21,2103.0,2300.94
Jamaica,5.45,6.58,7.39,8.4,8.79,8.89,9.01,9.19,9.72,9.43,10.17,11.24,11.93,12.8,13.71,12.12,13.22,14.44,14.81,14.26,13.9,14.19,14.08,14.81,15.73,15.83,13.81,14.66,17.1,19.42
Jordan,6.24,6.73,6.93,7.25,7.91,8.15,8.46,8.98,9.58,10.2,11.41,12.59,15.06,17.11,22.66,24.54,27.13,29.52,31.63,34.45,36.85,38.59,39.89,41.61,43.37,44.5,43.7,46.3,48.76,50.97
Japan,4998.8,5545.56,4923.39,4492.45,4098.36,4635.98,4968.36,4374.71,4182.85,4519.56,4893.12,4831.47,4601.66,4579.75,5106.68,5289.49,5759.07,6233.15,6272.36,5212.33,4896.99,4444.93,5003.68,4930.84,5040.88,5117.99,5055.59,5034.62,4256.41,4204.49
Kazakhstan,21.25,20.37,21.04,22.17,22.14,16.87,18.29,22.15,24.64,30.83,43.15,57.12,81.0,104.85,133.44,115.31,148.05,192.63,208.0,236.63,221.42,184.39,137.28,166.81,179.34,181.67,171.08,197.11,225.5,262.64
Kenya,7.15,9.05,12.05,13.12,14.09,12.9,12.71,12.99,13.15,14.9,16.1,18.74,25.83,31.96,35.9,42.35,45.41,46.87,56.4,61.67,68.29,70.12,74.82,82.04,92.2,100.38,100.66,109.7,114.45,108.04
St. Kitts and Nevis,0.3,0.31,0.33,0.37,0.38,0.41,0.42,0.46,0.48,0.47,0.51,0.55,0.64,0.69,0.78,0.77,0.78,0.84,0.82,0.87,0.95,0.96,1.01,1.06,1.08,1.11,0.88,0.86,0.98,1.06
"Korea, Rep.",463.62,566.58,610.17,569.76,383.33,497.51,576.18,547.66,627.25,702.71,793.18,934.9,1053.22,1172.61,1047.34,943.94,1143.67,1253.29,1278.05,1370.63,1484.49,1466.04,1499.68,1623.07,1725.37,1651.42,1644.31,1818.43,1673.92,1712.79
Kuwait,24.85,27.19,31.49,30.35,25.94,30.12,37.72,34.89,38.14,47.87,59.44,80.8,101.56,114.63,147.38,105.97,115.42,154.04,174.05,174.17,162.65,114.59,109.41,120.69,138.65,140.86,111.05,148.46,183.94,163.7
Latin America & Caribbean (excluding high income),1592.92,1697.85,1853.07,2021.9,2038.85,1810.33,2001.5,1951.44,1757.09,1793.95,2043.69,2470.51,2881.1,3401.61,3931.41,3643.25,4556.44,5320.45,5297.87,5436.64,5457.3,4634.56,4496.98,5012.88,4870.4,4803.45,4047.06,4693.45,5393.06,6057.47
Lao PDR,1.54,1.76,1.87,1.75,1.28,1.45,1.73,1.77,1.76,2.02,2.37,2.74,3.46,4.22,5.45,5.84,7.13,8.75,10.19,11.98,13.28,14.43,15.91,17.07,18.14,18.74,18.98,18.83,15.47,15.84
Libya,28.61,25.54,27.88,30.7,27.25,35.98,38.27,34.11,20.48,26.27,33.12,47.33,60.09,68.03,86.71,60.81,75.38,48.17,92.54,75.35,57.37,48.72,49.91,67.16,76.69,69.25,46.85,35.22,43.25,45.1
St. Lucia,0.71,0.76,0.79,0.81,0.88,0.92,0.93,0.89,0.9,0.99,1.07,1.14,1.27,1.34,1.44,1.4,1.48,1.57,1.6,1.66,1.75,1.81,1.87,2.0,2.06,2.1,1.5,1.87,2.34,2.43
