Country Name,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Europe & Central Asia,9.65,9.93,10.27,10.52,10.69,10.58,9.69,9.06,9.08,9.11,9.05,8.72,8.15,7.23,7.16,9.06,9.12,8.86,9.08,9.27,8.96,8.57,8.09,7.5,6.9,6.64,7.11,6.91,5.86,5.59
Ecuador,4.42,4.42,4.43,4.43,4.39,4.66,4.8,4.25,4.84,5.66,5.0,3.78,3.55,3.14,3.92,4.61,4.09,3.46,3.24,3.08,3.48,3.62,4.6,3.84,3.53,3.81,6.13,4.55,3.76,3.51
"Egypt, Arab Rep.",10.93,11.04,9.0,8.37,8.03,7.95,8.98,9.26,10.01,10.91,10.32,11.05,10.49,8.8,8.52,9.09,8.76,11.85,12.6,13.15,13.1,13.05,12.45,11.77,9.86,7.85,7.97,7.44,7.34,7.33
Euro area,11.74,11.42,11.62,11.64,11.2,10.45,9.47,8.42,8.68,9.02,9.29,9.15,8.43,7.54,7.54,9.63,10.18,10.26,11.42,12.0,11.63,10.89,10.04,9.07,8.16,7.52,7.83,7.72,6.75,6.56
Spain,24.21,22.68,22.14,20.7,18.67,15.48,13.78,10.35,11.15,11.28,11.09,9.15,8.45,8.23,11.25,17.86,19.86,21.39,24.79,26.09,24.44,22.06,19.64,17.22,15.26,14.1,15.53,14.78,12.92,12.18
Estonia,7.56,9.66,9.91,10.37,9.51,11.57,13.36,13.13,10.03,11.29,10.25,8.03,5.92,4.59,5.46,13.55,16.71,12.33,10.02,8.63,7.35,6.41,6.88,5.81,5.41,4.51,6.96,6.18,5.57,6.38
Ethiopia,3.1,3.03,3.15,3.26,3.49,3.71,3.5,3.18,3.06,3.0,2.77,2.5,2.35,2.35,2.34,2.33,2.3,2.28,2.26,2.25,2.36,2.44,2.55,2.66,2.8,2.92,3.99,3.94,3.41,3.4
European Union,11.55,11.11,11.14,10.96,10.53,10.21,9.71,9.21,9.56,9.7,9.86,9.63,8.69,7.5,7.24,9.21,9.87,9.93,10.88,11.35,10.83,10.02,9.11,8.14,7.26,6.69,7.05,7.01,6.14,6.03
Fragile and conflict affected situations,4.58,5.06,5.33,5.43,5.67,5.91,5.89,5.8,5.77,5.64,5.49,5.18,5.04,4.97,5.0,5.06,5.13,5.18,5.24,5.23,5.37,5.47,5.62,5.83,5.83,5.88,6.65,6.78,5.61,5.2
Finland,16.43,17.0,15.57,14.97,13.21,11.69,11.13,10.29,10.42,10.47,10.36,9.6,8.94,6.85,6.37,8.25,8.39,7.78,7.69,8.19,8.66,9.38,8.82,8.64,7.36,6.7,7.76,7.62,6.72,7.15
